id,enlem,boylam,ad
1,-27.31119,47.77964,QXC
2,71.82428,136.65384,PDH
3,-62.48895,53.36782,KFB
4,87.56741,157.13709,UQR
5,-24.45351,126.15172,NFH
6,33.63899,173.62625,KJR
7,76.00789,158.80796,UUN
8,-2.18741,73.5496,ARP
9,62.19515,-158.61273,DPY
10,-34.62257,125.53599,JKU
11,7.37271,-118.94374,STN
12,-69.41623,-67.43677,GCF
13,-43.18289,177.09338,VLO
14,40.21763,-37.55995,IJF
15,-29.74126,-138.60328,NUB
16,19.35792,68.41236,OOH
17,40.65208,72.78295,PJA
18,71.01158,130.63752,DRW
19,8.25988,148.98794,XUS
20,9.72634,27.02983,XRG
21,-87.57179,-130.05476,WNR
22,-57.94108,23.56882,YRD
23,-57.71064,168.3329,AQZ
24,34.93971,149.2799,YKU
25,33.85713,23.12719,YKN
26,63.49521,-47.60222,WBT
27,42.94022,-111.47646,CGL
28,-71.83967,-76.63558,SOI
29,40.27854,35.95619,NOU
30,-76.10811,104.06768,FRK
31,47.07695,143.36128,ITS
32,-38.43448,26.11209,UKD
33,74.494,-171.99581,FGS
34,11.66064,-29.22418,EBN
35,-22.43534,151.00849,CLM
36,38.21288,159.81593,FHC
37,52.56816,-124.13435,GRB
38,82.72542,109.46077,KJW
39,-58.95682,-119.1779,PUO
40,57.29748,-162.85876,ANY
41,-53.1378,-55.55476,RZO
42,-6.72758,-97.28678,KVI
43,74.83096,-81.5231,OJX
44,24.44083,-54.07256,AFM
45,5.71405,64.68323,VVA
46,-79.49938,88.04471,OPJ
47,-28.56031,-75.71967,UYJ
48,35.23186,49.07764,UBX
49,-83.41393,-29.73413,HNU
50,-66.49032,29.18809,XUX
51,28.65599,157.64304,WAH
52,-84.63989,147.08382,SXM
53,31.78367,112.16195,MXE
54,-74.501,-67.33042,ZHM
55,83.06418,-60.96661,IMN
56,12.6887,156.85105,AYK
57,-42.60326,-12.56439,GIH
58,-27.35802,-43.25205,APD
59,65.56594,-131.87937,EQY
60,-75.68051,-16.0969,FJA
61,-63.01962,109.10109,ZAB
62,-18.01342,-102.46217,WDV
63,-52.34417,36.32504,WXB
64,-82.54263,37.51696,ACS
65,-8.36321,53.44676,GHU
66,-47.73236,-113.05414,FRX
67,68.97819,-143.94338,VBX
68,70.59626,-66.8476,OGH
69,-38.16806,-99.76564,NMX
70,45.30084,109.80723,JRO
71,-77.78199,-20.65851,HCF
72,-74.98974,64.89947,VRE
73,3.78791,107.5171,ABS
74,22.68841,91.58008,MCP
75,-48.21489,-62.32538,VYP
76,8.1135,-111.90203,KVW
77,20.67425,-19.6855,APR
78,-76.57845,118.37319,BFI
79,63.20486,68.06302,IYI
80,15.49829,-111.31681,ILJ
81,-22.87033,-68.47885,QZZ
82,76.11375,-77.91433,BTA
83,-85.25866,40.51047,DSL
84,-33.79079,134.64792,HUD
85,41.169,-110.96329,PZN
86,-53.99509,-121.59426,EBX
87,-84.60487,-114.85154,GYV
88,6.65991,-78.68978,BEC
89,4.07721,38.80189,HFH
90,55.4572,-149.82326,GVX
91,-13.91553,-10.61539,ZVB
92,76.07021,150.59138,UGR
93,59.16741,133.92506,XUM
94,-12.31021,-161.24187,AXQ
95,-0.46599,-163.90057,DJU
96,-75.98925,-49.70725,FUT
97,87.40503,-114.02568,KYF
98,65.55976,130.89113,TWE
99,81.90059,-65.67556,FMU
100,-68.06467,37.03858,QST
101,61.19672,-114.45688,TBL
102,35.15751,106.35912,PLL
103,39.09814,163.04161,VTE
104,-31.9089,-75.07612,DXN
105,38.20965,81.21507,XHO
106,-9.25743,-89.73515,OOF
107,16.00675,-175.8784,ASV
108,-60.94388,134.07262,QGX
109,-12.79362,39.72232,WMZ
110,-23.70041,-92.43186,RXI
111,-34.12552,-111.41703,KGY
112,-72.94275,116.75425,XJJ
113,-35.15629,-94.28633,SXK
114,-21.3284,-176.95051,JAI
115,-83.20626,33.94028,HDQ
116,-5.7026,92.86651,IQG
117,69.09137,23.94245,OBK
118,0.2555,172.07836,XBU
119,-88.30851,62.07821,ZZD
120,-59.7416,-101.85636,STJ
121,-49.83318,-17.49329,SXO
122,-58.69345,57.35751,UKB
123,-33.46927,169.02186,VVQ
124,-28.80924,6.15252,DFV
125,38.45571,-179.83238,EWQ
126,-49.9211,23.84511,EAL
127,66.18641,-178.65396,MIO
128,89.12683,-151.38489,EXW
129,20.27685,150.02681,LRZ
130,44.41753,-145.05175,FPR
131,33.39495,-126.60109,LII
132,55.48738,-63.73947,IPM
133,38.10717,-152.55769,BGU
134,-79.58329,-139.55867,JUB
135,54.73277,160.51427,IRC
136,77.76693,-76.61871,VYY
137,58.34427,-66.62005,QJK
138,-30.12261,-112.07247,FGM
139,85.06789,-31.14431,TXN
140,-44.41607,46.31441,ERR
141,-70.78186,105.4152,UTU
142,-13.471,-126.95816,KON
143,70.89052,-145.27326,IRS
144,-61.8799,59.57698,EGS
145,82.45894,160.4967,ZFE
146,89.43653,9.45556,GQT
147,-4.53827,136.43836,WST
148,35.34086,108.82864,ZLD
149,39.24941,-60.95491,VHG
150,-21.23956,-6.1175,VTL
151,-48.65787,69.63305,SXS
152,53.85302,35.93595,DQO
153,55.3154,158.91445,WQZ
154,-87.8748,-104.56029,JTM
155,-3.50719,-142.90005,TWZ
156,-76.42878,89.13389,IFW
157,-77.62302,80.48714,YRH
158,72.60983,-21.05044,OED
159,81.4304,86.76868,OBQ
160,-81.7623,115.83636,LHO
161,-32.76266,-0.15629,LOX
162,-30.17632,158.2302,KVY
163,-13.14632,25.7298,APH
164,-3.46699,131.55975,EOR
